id,stationID,longitude,latitude,live,avg,cityID,stateID
site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB",75.768218,23.182719,FALSE,,Ujjain,Madhya Pradesh
site_5248,"Chhoti Gwaltoli, Indore - MPPCB",75.5213,22.431,TRUE,52,Indore,Madhya Pradesh
site_5250,"Gole Bazar, Katni - MPPCB",80.23284,23.50016,TRUE,56,Katni,Madhya Pradesh
site_1408,"Talcher Coalfields,Talcher - OSPCB",85.1707021,20.9360711,FALSE,,Talcher,Odisha
site_1410,"GM Office, Brajrajnagar - OSPCB",83.8396977,21.8004996,TRUE,24,Brajrajnagar,Odisha
site_271,"Chandrapur, Chandrapur - MPCB",77.6345232,19.645324,TRUE,30,Chandrapur,Maharashtra
site_295,"MIDC Khutala, Chandrapur - MPCB",79.2337086,19.9775302,TRUE,86,Chandrapur,Maharashtra
site_5392,"Bandra Kurla Complex, Mumbai - IITM",72.84643,19.053536,TRUE,52,Mumbai,Maharashtra
site_168,"Bandra, Mumbai - MPCB",72.84614,19.0627,FALSE,,Mumbai,Maharashtra
site_5400,"Borivali East, Mumbai - IITM",72.86895,19.23241,TRUE,39,Mumbai,Maharashtra
site_5113,"Borivali East, Mumbai - MPCB",72.8658113,19.2243333,TRUE,30,Mumbai,Maharashtra
site_5399,"Chakala-Andheri East, Mumbai - IITM",72.86084,19.11074,TRUE,49,Mumbai,Maharashtra
site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",72.87462,19.10078,TRUE,57,Mumbai,Maharashtra
site_5120,"Colaba, Mumbai - MPCB",72.82,18.91,TRUE,59,Mumbai,Maharashtra
site_5396,"Deonar, Mumbai - IITM",72.923,19.04946,TRUE,37,Mumbai,Maharashtra
site_5412,"Kandivali East, Mumbai - MPCB",72.8682,19.2058,FALSE,,Mumbai,Maharashtra
site_5397,"Khindipada-Bhandup West, Mumbai - IITM",72.922099,19.1653323,FALSE,,Mumbai,Maharashtra
site_5104,"Kurla, Mumbai - MPCB",72.8888,19.0863,FALSE,,Mumbai,Maharashtra
site_5402,"Malad West, Mumbai - IITM",72.82204,19.19709,TRUE,36,Mumbai,Maharashtra
site_5394,"Mazgaon, Mumbai - IITM",72.84214,18.96702,TRUE,33,Mumbai,Maharashtra
site_5413,"Mulund West, Mumbai - MPCB",72.9419,19.175,FALSE,,Mumbai,Maharashtra
site_5398,"Navy Nagar-Colaba, Mumbai - IITM",72.81332,18.897756,FALSE,,Mumbai,Maharashtra
site_5112,"Powai, Mumbai - MPCB",72.915056,19.1375,TRUE,36,Mumbai,Maharashtra
site_5403,"Siddharth Nagar-Worli, Mumbai - IITM",72.813993,19.000083,TRUE,82,Mumbai,Maharashtra
site_5119,"Sion, Mumbai - MPCB",72.8746,19.047,TRUE,33,Mumbai,Maharashtra
site_5102,"Vasai West, Mumbai - MPCB",72.8204,19.3832,TRUE,78,Mumbai,Maharashtra
site_5106,"Vile Parle West, Mumbai - MPCB",72.83622,19.10861,FALSE,,Mumbai,Maharashtra
site_5115,"Worli, Mumbai - MPCB",72.8128113,18.9936162,TRUE,79,Mumbai,Maharashtra
site_261,"Airoli, Navi Mumbai - MPCB",72.9986,19.1494,FALSE,,Navi Mumbai,Maharashtra
site_5114,"Mahape, Navi Mumbai - MPCB",73.008978,19.1135051,TRUE,46,Navi Mumbai,Maharashtra
site_5103,"Nerul, Navi Mumbai - MPCB",73.01662,19.008751,FALSE,,Navi Mumbai,Maharashtra
site_5401,"Sector-19A Nerul, Navi Mumbai - IITM",73.0325,19.044,FALSE,,Navi Mumbai,Maharashtra
site_5405,"Alandi, Pune - IITM",73.892743,18.675076,FALSE,,Pune,Maharashtra
site_5406,"Bhosari, Pune - IITM",73.848956,18.640051,FALSE,,Pune,Maharashtra
site_5407,"Hadapsar, Pune - IITM",73.927532,18.501793,FALSE,,Pune,Maharashtra
site_292,"Karve Road, Pune - MPCB",73.8165527,18.5011743,FALSE,,Pune,Maharashtra
site_5410,"MIT-Kothrud, Pune - IITM",73.8214883,18.517754,TRUE,27,Pune,Maharashtra
site_5404,"Mhada Colony, Pune - IITM",73.927715,18.57304,FALSE,,Pune,Maharashtra
site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",73.849598,18.530085,FALSE,,Pune,Maharashtra
site_5408,"Transport Nagar-Nigdi, Pune - IITM",73.763966,18.664282,FALSE,,Pune,Maharashtra
site_303,"Opp GPO Civil Lines, Nagpur - MPCB",79.0517531,21.152875,TRUE,39,Nagpur,Maharashtra
site_304,"Gangapur Road, Nashik - MPCB",73.7762427,20.0073285,FALSE,,Nashik,Maharashtra
site_198,"More Chowk Waluj, Aurangabad - MPCB",75.244448,19.8389439,FALSE,,Aurangabad,Maharashtra
site_5118,"Khadakpada, Kalyan - MPCB",73.142019,19.25292,FALSE,,Kalyan,Maharashtra
site_302,"Solapur, Solapur - MPCB",75.9063906,17.6599188,TRUE,53,Solapur,Maharashtra
site_305,"Pimpleshwar Mandir, Thane - MPCB",72.9585188,19.192056,FALSE,,Thane,Maharashtra
site_5082,"Indirapuram, Ghaziabad - UPPCB",77.358075,28.646233,TRUE,67,Ghaziabad,Uttar Pradesh
site_5083,"Loni, Ghaziabad - UPPCB",77.278792,28.757294,TRUE,117,Ghaziabad,Uttar Pradesh
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",77.453839,28.685382,TRUE,61,Ghaziabad,Uttar Pradesh
site_144,"Vasundhara, Ghaziabad - UPPCB",77.3572563,28.6603346,TRUE,98,Ghaziabad,Uttar Pradesh
site_5258,"Ganga Nagar, Meerut - UPPCB",77.7590354,28.999264,TRUE,60,Meerut,Uttar Pradesh
site_5109,"Jai Bhim Nagar, Meerut - UPPCB",77.7622941,28.9535882,TRUE,59,Meerut,Uttar Pradesh
site_5257,"Pallavpuram Phase 2, Meerut - UPPCB",77.709723,29.06351,TRUE,64,Meerut,Uttar Pradesh
site_5460,"B R Ambedkar University, Lucknow - UPPCB",80.927299,26.766433,TRUE,39,Lucknow,Uttar Pradesh
site_272,"Central School, Lucknow - CPCB",80.9302753,26.8821003,TRUE,88,Lucknow,Uttar Pradesh
site_5128,"Gomti Nagar, Lucknow - UPPCB",81.005119,26.86812,TRUE,52,Lucknow,Uttar Pradesh
site_5462,"Kukrail Picnic Spot-1, Lucknow - UPPCB",80.98579,26.90723,TRUE,66,Lucknow,Uttar Pradesh
site_277,"Lalbagh, Lucknow - CPCB",80.9365541,26.8458805,TRUE,66,Lucknow,Uttar Pradesh
site_297,"Talkatora District Industries Center, Lucknow - CPCB",80.8917361,26.83399722,TRUE,90,Lucknow,Uttar Pradesh
site_1541,"Knowledge Park - III, Greater Noida - UPPCB",77.482,28.47272,FALSE,,Greater Noida,Uttar Pradesh
site_5121,"Knowledge Park - V, Greater Noida - UPPCB",77.453663,28.557054,TRUE,97,Greater Noida,Uttar Pradesh
site_5500,"FTI Kidwai Nagar, Kanpur - UPPCB",80.327067,26.428282,TRUE,46,Kanpur,Uttar Pradesh
site_5416,"IITK, Kanpur - IITK",80.235136,26.511739,TRUE,36,Kanpur,Uttar Pradesh
site_5474,"NSI Kalyanpur, Kanpur - UPPCB",80.249612,26.509954,TRUE,44,Kanpur,Uttar Pradesh
site_276,"Nehru Nagar, Kanpur - UPPCB",80.3229863,26.4703136,TRUE,56,Kanpur,Uttar Pradesh
site_5464,"Manoharpur, Agra - UPPCB",78.01936,27.23711,TRUE,37,Agra,Uttar Pradesh
site_5482,"Rohta, Agra - UPPCB",78.000111,27.106972,TRUE,80,Agra,Uttar Pradesh
site_307,"Sanjay Palace, Agra - UPPCB",78.00598056,27.19865833,TRUE,67,Agra,Uttar Pradesh
site_5465,"Sector-3B Avas Vikas Colony, Agra - UPPCB",77.96237,27.19412,TRUE,34,Agra,Uttar Pradesh
site_5501,"Shahjahan Garden, Agra - UPPCB",78.03582,27.169338,TRUE,42,Agra,Uttar Pradesh
site_5463,"Shastripuram, Agra - UPPCB",77.92066,27.19862,TRUE,50,Agra,Uttar Pradesh
site_5554,"Buddhi Vihar, Moradabad - UPPCB",78.7446,28.83526,FALSE,,Moradabad,Uttar Pradesh
site_5556,"Eco Herbal Park, Moradabad - UPPCB",78.697531,28.840739,TRUE,66,Moradabad,Uttar Pradesh
site_5537,"Employment Office, Moradabad - UPPCB",78.7388,28.88528,TRUE,62,Moradabad,Uttar Pradesh
site_5555,"Jigar Colony, Moradabad - UPPCB",78.772638,28.856664,TRUE,64,Moradabad,Uttar Pradesh
site_5620,"Kashiram Nagar, Moradabad - UPPCB",78.742362,28.849399,TRUE,59,Moradabad,Uttar Pradesh
site_1398,"Lajpat Nagar, Moradabad - UPPCB",78.7213009,28.825341,FALSE,,Moradabad,Uttar Pradesh
site_5613,"Transport Nagar, Moradabad - UPPCB",78.753728,28.802625,TRUE,90,Moradabad,Uttar Pradesh
site_1542,"Yamunapuram, Bulandshahr - UPPCB",77.849831,28.406963,TRUE,93,Bulandshahr,Uttar Pradesh
site_153,"Sector - 125, Noida - UPPCB",77.3231257,28.5447608,TRUE,87,Noida,Uttar Pradesh
site_111,"Sector - 62, Noida - IMD",77.3577104,28.6245479,TRUE,87,Noida,Uttar Pradesh
site_5123,"Sector-1, Noida - UPPCB",77.3101,28.5898,FALSE,,Noida,Uttar Pradesh
site_5122,"Sector-116, Noida - UPPCB",77.393848,28.56923,TRUE,86,Noida,Uttar Pradesh
site_273,"Ardhali Bazar, Varanasi - UPPCB",82.9083074,25.3505986,TRUE,24,Varanasi,Uttar Pradesh
site_5469,"Bhelupur, Varanasi - UPPCB",82.996789,25.301778,TRUE,57,Varanasi,Uttar Pradesh
site_5468,"IESD Banaras Hindu University, Varanasi - UPPCB",82.995408,25.262326,TRUE,33,Varanasi,Uttar Pradesh
site_5475,"Maldahiya, Varanasi - UPPCB",82.99687,25.32393,TRUE,59,Varanasi,Uttar Pradesh
site_5583,"Shivaji Nagar, Jhansi - UPPCB",78.6039,25.4547,FALSE,,Jhansi,Uttar Pradesh
site_1550,"New Mandi, Muzaffarnagar - UPPCB",77.7194031,29.4723508,TRUE,80,Muzaffarnagar,Uttar Pradesh
site_5603,"Kalindi Kunj, Khurja - UPPCB",77.8683002,28.2348927,TRUE,35,Khurja,Uttar Pradesh
site_5461,"Jhunsi, Prayagraj - UPPCB",81.917152,25.425602,TRUE,115,Prayagraj,Uttar Pradesh
site_5459,"Motilal Nehru NIT, Prayagraj - UPPCB",81.863,25.494,TRUE,46,Prayagraj,Uttar Pradesh
site_5484,"Nagar Nigam, Prayagraj - UPPCB",81.82735986,25.44919916,TRUE,73,Prayagraj,Uttar Pradesh
site_5480,"Nagla Bhau, Firozabad - UPPCB",78.37696,27.168897,TRUE,26,Firozabad,Uttar Pradesh
site_5584,"Vibhab Nagar, Firozabad - UPPCB",78.3953,27.1594,TRUE,62,Firozabad,Uttar Pradesh
site_5601,"Rajendra Nagar, Bareilly - UPPCB",79.42963708,28.38910936,FALSE,,Bareilly,Uttar Pradesh
site_5023,"Anand Vihar, Hapur - UPPCB",77.749675,28.725645,TRUE,73,Hapur,Uttar Pradesh
